"CBcond","Gamble","X_location","domain","dominated","first_gamble_trial","game_winnings","orderA","orderB","p","primary_odds","primary_stakes","primary_winnings","q","real_winnings","response","response_time","risk_selected","second_gamble_trial","secondary_odds","secondary_stakes","secondary_winnings","version","x","y"
"4","17","3","1","no","6","NA","8","2","30","NA","NA","NA","50","NA","p","2252","0","89","NA","NA","NA","4","500","300"
"4","1","2","1","no","6","NA","8","2","10","NA","NA","NA","20","NA","l","5600","0","89","NA","NA","NA","3","200","100"
"4","18","4","1","no","6","NA","8","2","40","NA","NA","NA","80","NA","p","2040","0","89","NA","NA","NA","1","200","100"
"4","38","2","1","no","6","NA","8","2","10","NA","NA","NA","30","NA","l","5238","0","89","NA","NA","NA","3","500","200"
"4","31","2","1","no","6","NA","8","2","10","NA","NA","NA","40","NA","l","1820","0","89","NA","NA","NA","3","300","100"
"4","29","3","1","no","6","NA","8","2","10","NA","NA","NA","30","NA","p","3580","0","89","NA","NA","NA","4","200","100"
"4","24","3","1","no","6","NA","8","2","50","NA","NA","NA","100","NA","p","2577","0","89","NA","NA","NA","4","400","200"
"4","37","2","1","no","6","NA","8","2","10","NA","NA","NA","20","NA","l","3048","0","89","NA","NA","NA","3","500","200"
"4","36","2","1","no","6","NA","8","2","10","NA","NA","NA","60","NA","l","3056","0","89","NA","NA","NA","3","500","100"
"4","23","3","1","no","6","NA","8","2","50","NA","NA","NA","100","NA","p","1827","0","89","NA","NA","NA","4","200","100"
"4","40","1","1","no","6","NA","8","2","20","NA","NA","NA","30","NA","l","2521","0","89","NA","NA","NA","2","200","100"
"4","56","3","1","no","6","NA","8","2","30","NA","NA","NA","80","NA","p","1645","0","89","NA","NA","NA","4","500","200"
"4","39","4","1","no","6","NA","8","2","10","NA","NA","NA","20","NA","p","2868","0","89","NA","NA","NA","1","500","300"
"4","44","4","1","no","6","NA","8","2","20","NA","NA","NA","70","NA","p","2441","0","89","NA","NA","NA","1","400","100"
"4","70","2","1","no","6","NA","8","2","70","NA","NA","NA","90","NA","l","2789","0","89","NA","NA","NA","3","500","400"
"4","68","2","1","no","6","NA","8","2","70","NA","NA","NA","100","NA","l","1523","0","89","NA","NA","NA","3","300","200"
"4","10","1","1","no","6","NA","8","2","20","NA","NA","NA","40","NA","p","2938","1","89","NA","NA","NA","2","400","200"
"4","27","2","1","no","6","NA","8","2","60","NA","NA","NA","100","NA","l","3129","0","89","NA","NA","NA","3","500","300"
"4","34","3","1","no","6","NA","8","2","10","NA","NA","NA","50","NA","p","2029","0","89","NA","NA","NA","4","400","100"
"4","30","3","1","no","6","NA","8","2","10","NA","NA","NA","20","NA","p","2912","0","89","NA","NA","NA","4","300","100"
"4","5","1","1","no","6","NA","8","2","10","NA","NA","NA","50","NA","l","3000","0","89","NA","NA","NA","2","500","100"
"4","2","3","1","no","6","NA","8","2","10","NA","NA","NA","30","NA","p","12167","0","89","NA","NA","NA","4","300","100"
"4","28","4","1","no","6","NA","8","2","80","NA","NA","NA","100","NA","p","2092","0","89","NA","NA","NA","1","500","400"
"4","66","4","1","no","6","NA","8","2","50","NA","NA","NA","80","NA","p","8472","0","89","NA","NA","NA","1","500","300"
"4","59","1","1","no","6","NA","8","2","40","NA","NA","NA","90","NA","l","1939","0","89","NA","NA","NA","2","200","100"
"4","63","3","1","no","6","NA","8","2","50","NA","NA","NA","70","NA","p","1815","0","89","NA","NA","NA","4","300","200"
"4","8","1","1","no","6","NA","8","2","20","NA","NA","NA","30","NA","l","2644","0","89","NA","NA","NA","2","300","200"
"4","65","4","1","no","6","NA","8","2","50","NA","NA","NA","70","NA","p","1567","0","89","NA","NA","NA","1","400","300"
"4","16","4","1","no","6","NA","8","2","30","NA","NA","NA","40","NA","p","1461","0","89","NA","NA","NA","1","400","300"
"4","19","3","1","no","6","NA","8","2","40","NA","NA","NA","60","NA","p","1400","0","89","NA","NA","NA","4","300","200"
"4","26","4","1","no","6","NA","8","2","60","NA","NA","NA","80","NA","p","1212","0","89","NA","NA","NA","1","400","300"
"4","57","2","1","no","6","NA","8","2","30","NA","NA","NA","40","NA","l","2083","0","89","NA","NA","NA","3","500","400"
"4","7","1","1","no","6","NA","8","2","20","NA","NA","NA","60","NA","l","1934","0","89","NA","NA","NA","2","300","100"
"4","41","4","1","no","6","NA","8","2","20","NA","NA","NA","50","NA","p","1316","0","89","NA","NA","NA","1","200","100"
"4","51","4","1","no","6","NA","8","2","30","NA","NA","NA","80","NA","p","1805","0","89","NA","NA","NA","1","300","100"
"4","9","4","1","no","6","NA","8","2","20","NA","NA","NA","80","NA","p","1003","0","89","NA","NA","NA","1","400","100"
"4","69","2","1","no","6","NA","8","2","70","NA","NA","NA","90","NA","p","1038","1","89","NA","NA","NA","3","400","300"
"4","12","1","1","no","6","NA","8","2","20","NA","NA","NA","50","NA","l","2513","0","89","NA","NA","NA","2","500","200"
"4","43","4","1","no","6","NA","8","2","20","NA","NA","NA","70","NA","p","2335","0","89","NA","NA","NA","1","300","100"
"4","72","2","1","yes","6","NA","8","2","70","NA","NA","NA","80","NA","l","1653","0","89","NA","NA","NA","3","300","400"
"4","42","1","1","no","6","NA","8","2","20","NA","NA","NA","50","NA","l","1647","0","89","NA","NA","NA","2","300","100"
"4","74","2","1","yes","6","NA","8","2","50","NA","NA","NA","60","NA","l","3487","0","89","NA","NA","NA","3","300","400"
"4","58","2","1","no","6","NA","8","2","40","NA","NA","NA","70","NA","l","1548","0","89","NA","NA","NA","3","200","100"
"4","33","1","1","no","6","NA","8","2","10","NA","NA","NA","30","NA","l","1615","0","89","NA","NA","NA","2","400","100"
"4","32","1","1","no","6","NA","8","2","10","NA","NA","NA","20","NA","l","1557","0","89","NA","NA","NA","2","300","200"
"4","75","1","1","yes","6","NA","8","2","40","NA","NA","NA","50","NA","l","1385","0","89","NA","NA","NA","2","200","400"
"4","52","1","1","no","6","NA","8","2","30","NA","NA","NA","100","NA","l","870","0","89","NA","NA","NA","2","300","100"
"4","22","1","1","no","6","NA","8","2","40","NA","NA","NA","50","NA","l","2005","0","89","NA","NA","NA","2","500","400"
"4","14","3","1","no","6","NA","8","2","30","NA","NA","NA","90","NA","p","2766","0","89","NA","NA","NA","4","300","100"
"4","13","1","1","no","6","NA","8","2","30","NA","NA","NA","60","NA","l","2037","0","89","NA","NA","NA","2","200","100"
"4","49","3","1","no","6","NA","8","2","30","NA","NA","NA","50","NA","p","2276","0","89","NA","NA","NA","4","200","100"
"4","35","2","1","no","6","NA","8","2","10","NA","NA","NA","40","NA","p","2669","1","89","NA","NA","NA","3","500","100"
"4","15","4","1","no","6","NA","8","2","30","NA","NA","NA","60","NA","p","2053","0","89","NA","NA","NA","1","400","200"
"4","45","3","1","no","6","NA","8","2","20","NA","NA","NA","90","NA","p","1715","0","89","NA","NA","NA","4","400","100"
"4","64","3","1","no","6","NA","8","2","50","NA","NA","NA","80","NA","p","1423","0","89","NA","NA","NA","4","300","200"
"4","6","2","1","no","6","NA","8","2","20","NA","NA","NA","40","NA","l","2340","0","89","NA","NA","NA","3","200","100"
"4","11","3","1","no","6","NA","8","2","20","NA","NA","NA","100","NA","p","1612","0","89","NA","NA","NA","4","500","100"
"4","67","3","1","no","6","NA","8","2","50","NA","NA","NA","60","NA","p","4085","0","89","NA","NA","NA","4","500","400"
"4","67","3","1","no","6","100","8","2","50","50","-100","0","60","1.5","space","6009","0","89","70","100","100","4","500","400"
